cluster,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,4819.82,0.97,519.1,332.22,186.98,4911.86,0.28,0.14,0.18,0.51,15.62,7.93,7955.5,3873.78,1662.45,0.04,11.63
1,127.51,0.84,1292.03,641.75,650.38,58.03,0.78,0.28,0.6,0.01,0.16,19.68,5018.4,1540.71,179.27,0.8,11.78
2,1426.59,0.95,1439.48,752.33,687.48,321.91,0.89,0.34,0.72,0.06,1.15,26.16,4425.74,1555.24,756.76,0.06,11.92
3,3930.51,0.99,778.72,153.53,625.19,889.92,0.45,0.04,0.41,0.1,2.93,15.55,4181.82,1380.41,22810.69,0.0,11.91
4,835.6,0.77,391.47,254.06,137.86,1066.4,0.4,0.12,0.27,0.19,3.11,4.99,2443.63,602.06,344.23,0.14,7.33
5,4106.1,0.98,10001.61,6718.37,3285.79,692.69,0.94,0.76,0.79,0.07,2.21,104.6,10657.42,9494.21,2069.32,0.31,11.95
6,1120.93,0.82,254.62,195.18,59.66,613.8,0.16,0.08,0.08,0.12,2.27,2.83,3363.59,1001.89,550.74,0.04,11.88
